id,feed_rate_kg_hr,reactor_temp_c,reduction_time_min,grind_micron,h2_recycle,heat_recovery,condenser_mode,oxygen_kg_hr,power_kw,h2_loss_kg_hr,complexity_score,thermal_margin_c,conversion,robustness_score,yield_retention,worst_oxygen_kg_hr,worst_thermal_margin_c,max_power_kw,max_h2_loss_kg_hr,rank_score,pareto
candidate_0075,5.0,850.0,60.0,50.0,False,True,low,0.05727023127272727,14.930000000000001,0.045,1.5,240.0,0.3683636363636364,0.8610923569249089,0.82,0.04696158964363636,234.6,17.021599999999996,0.06075,-1.5208761915051277,False
candidate_0076,5.0,850.0,60.0,50.0,False,True,nominal,0.06285757090909092,15.06,0.045,1.7,240.0,0.3683636363636364,0.8613342186808324,0.82,0.051543208145454544,234.6,17.1516,0.06075,-1.5476454378468345,False
candidate_0077,5.0,850.0,60.0,50.0,False,True,high,0.06634965818181818,15.23,0.045,1.95,240.0,0.3683636363636364,0.8616442693514264,0.82,0.0544067197090909,234.6,17.321599999999997,0.06075,-1.5901287749080033,False
candidate_0078,5.0,850.0,60.0,50.0,True,False,low,0.05727023127272727,15.05,0.012,1.7,240.0,0.3683636363636364,0.8876046511627909,0.82,0.04696158964363636,234.6,17.141599999999997,0.016200000000000003,-1.488358979572093,True
candidate_0079,5.0,850.0,60.0,50.0,True,False,nominal,0.06285757090909092,15.18,0.012,1.9,240.0,0.3683636363636364,0.8878426877470356,0.82,0.051543208145454544,234.6,17.2716,0.016200000000000003,-1.51513358115415,True
candidate_0080,5.0,850.0,60.0,50.0,True,False,high,0.06634965818181818,15.35,0.012,2.15,240.0,0.3683636363636364,0.8881478827361564,0.82,0.0544067197090909,234.6,17.441599999999998,0.016200000000000003,-1.557623716169381,True
candidate_0081,5.0,850.0,60.0,50.0,True,True,low,0.05727023127272727,14.63,0.012,2.2,240.0,0.3683636363636364,0.8868066985645935,0.82,0.04696158964363636,234.6,16.721599999999995,0.016200000000000003,-1.453876113209569,True
candidate_0082,5.0,850.0,60.0,50.0,True,True,nominal,0.06285757090909092,14.76,0.012,2.4000000000000004,240.0,0.3683636363636364,0.8870585365853659,0.82,0.051543208145454544,234.6,16.851599999999998,0.016200000000000003,-1.4806313927804877,True
candidate_0083,5.0,850.0,60.0,50.0,True,True,high,0.06634965818181818,14.93,0.012,2.6500000000000004,240.0,0.3683636363636364,0.8873812458137978,0.82,0.0544067197090909,234.6,17.021599999999996,0.016200000000000003,-1.523097007860683,True
candidate_0084,5.0,850.0,60.0,100.0,False,False,low,0.05727023127272727,14.100000000000001,0.045,1.0,240.0,0.3683636363636364,0.8594430260047283,0.82,0.04696158964363636,234.6,16.191599999999998,0.06075,-1.3337852547933806,False
